Variable,Question_Description,Value,Value_Meaning
Q71,Potato eating,6,3 times per day
Q71,Potato eating,7,4 or more times per day
Q72,Carrot eating,1,Did not eat carrots
Q72,Carrot eating,2,1 to 3 times
Q72,Carrot eating,3,4 to 6 times
Q72,Carrot eating,4,1 time per day
Q72,Carrot eating,5,2 times per day
Q72,Carrot eating,6,3 times per day
Q72,Carrot eating,7,4 or more times per day
Q73,Other vegetable eating,1,Did not eat other vegetables
Q73,Other vegetable eating,2,1 to 3 times
Q73,Other vegetable eating,3,4 to 6 times
Q73,Other vegetable eating,4,1 time per day
Q73,Other vegetable eating,5,2 times per day
Q73,Other vegetable eating,6,3 times per day
Q73,Other vegetable eating,7,4 or more times per day
Q74,No soda drinking,1,Did not drink soda or pop
Q74,No soda drinking,2,1 to 3 times
Q74,No soda drinking,3,4 to 6 times
Q74,No soda drinking,4,1 time per day
Q74,No soda drinking,5,2 times per day
Q74,No soda drinking,6,3 times per day
Q74,No soda drinking,7,4 or more times per day
Q75,Breakfast eating,1,0 days
Q75,Breakfast eating,2,1 day
Q75,Breakfast eating,3,2 days
Q75,Breakfast eating,4,3 days
Q75,Breakfast eating,5,4 days
Q75,Breakfast eating,6,5 days
Q75,Breakfast eating,7,6 days
Q75,Breakfast eating,8,7 days
Q76,Physical activity >= 5 days,1,0 days
Q76,Physical activity >= 5 days,2,1 day
Q76,Physical activity >= 5 days,3,2 days
Q76,Physical activity >= 5 days,4,3 days
Q76,Physical activity >= 5 days,5,4 days
Q76,Physical activity >= 5 days,6,5 days
Q76,Physical activity >= 5 days,7,6 days
Q76,Physical activity >= 5 days,8,7 days
Q77,PE attendance,1,0 days
Q77,PE attendance,2,1 day
Q77,PE attendance,3,2 days
Q77,PE attendance,4,3 days
Q77,PE attendance,5,4 days
Q77,PE attendance,6,5 days
Q78,Sports team participation,1,0 teams
Q78,Sports team participation,2,1 team
Q78,Sports team participation,3,2 teams
Q78,Sports team participation,4,3 or more teams
Q79,Concussion,1,0 times
Q79,Concussion,2,1 time
Q79,Concussion,3,2 times
Q79,Concussion,4,3 times
Q79,Concussion,5,4 or more times
Q80,Social media,1,I do not use social media
Q80,Social media,2,A few times a month
Q80,Social media,3,About once a week
Q80,Social media,4,A few times a week
Q80,Social media,5,About once a day
Q80,Social media,6,Several times a day
Q80,Social media,7,About once an hour
Q80,Social media,8,More than once an hour
Q81,HIV testing,1,Yes
Q81,HIV testing,2,No
Q81,HIV testing,3,Not sure
Q82,STD testing,1,Yes
Q82,STD testing,2,No
Q82,STD testing,3,Not sure
Q83,Oral health care,1,During the past 12 months
Q83,Oral health care,2,Between 12 and 24 months ago
Q83,Oral health care,3,More than 24 months ago
Q83,Oral health care,4,Never
Q83,Oral health care,5,Not sure
Q84,Current mental health,1,Never
Q84,Current mental health,2,Rarely
Q84,Current mental health,3,Sometimes
Q84,Current mental health,4,Most of the time
Q84,Current mental health,5,Always
Q85,Hours of sleep on school night,1,4 or less hours
Q85,Hours of sleep on school night,2,5 hours
Q85,Hours of sleep on school night,3,6 hours
Q85,Hours of sleep on school night,4,7 hours
Q85,Hours of sleep on school night,5,8 hours
Q85,Hours of sleep on school night,6,9 hours
Q85,Hours of sleep on school night,7,10 or more hours
Q86,Unstable Housing,1,Home of parent or gaurdian
Q86,Unstable Housing,2,Home of other people
Q86,Unstable Housing,3,Shelter or emergency housing
Q86,Unstable Housing,4,Motel or hotel
Q86,Unstable Housing,5,Public place
Q86,Unstable Housing,6,No usual place
Q86,Unstable Housing,7,Somewhere else
Q87,Grades in school,1,Mostly A's
Q87,Grades in school,2,Mostly B's
Q87,Grades in school,3,Mostly C's
Q87,Grades in school,4,Mostly D's
Q87,Grades in school,5,Mostly F's
Q87,Grades in school,6,None of these grades
Q87,Grades in school,7,Not sure
Q88,Ever sexual abuse by adult or older person ACEs,1,Yes
Q88,Ever sexual abuse by adult or older person ACEs,2,No
Q89,Ever parental emotional abuse ACEs,1,Never
Q89,Ever parental emotional abuse ACEs,2,Rarely
Q89,Ever parental emotional abuse ACEs,3,Sometimes
Q89,Ever parental emotional abuse ACEs,4,Most of the time
Q89,Ever parental emotional abuse ACEs,5,Always
Q90,Ever parental physical abuse ACEs,1,Never
Q90,Ever parental physical abuse ACEs,2,Rarely
Q90,Ever parental physical abuse ACEs,3,Sometimes
Q90,Ever parental physical abuse ACEs,4,Most of the time
Q90,Ever parental physical abuse ACEs,5,Always
Q91,Adults in home intimate partner violence ACEs,1,Never
Q91,Adults in home intimate partner violence ACEs,2,Rarely
Q91,Adults in home intimate partner violence ACEs,3,Sometimes
Q91,Adults in home intimate partner violence ACEs,4,Most of the time
Q91,Adults in home intimate partner violence ACEs,5,Always
Q92,Current Rx Pain med w/out Rx,1,0 times
Q92,Current Rx Pain med w/out Rx,2,1 or 2 times
Q92,Current Rx Pain med w/out Rx,3,3 to 9 times
Q92,Current Rx Pain med w/out Rx,4,10 to 19 times
Q92,Current Rx Pain med w/out Rx,5,20 to 39 times
Q92,Current Rx Pain med w/out Rx,6,40 or more times
Q93,Ever used hallucinogenic drugs,1,0 times
Q93,Ever used hallucinogenic drugs,2,1 or 2 times
Q93,Ever used hallucinogenic drugs,3,3 to 9 times
Q93,Ever used hallucinogenic drugs,4,10 to 19 times
Q93,Ever used hallucinogenic drugs,5,20 to 39 times
Q93,Ever used hallucinogenic drugs,6,40 or more times
Q94,If verbally asked for consent last sexual contact,1,Never had sexual contact
Q94,If verbally asked for consent last sexual contact,2,Yes
Q94,If verbally asked for consent last sexual contact,3,No
Q95,Sports drinks,1,I did not drink
Q95,Sports drinks,2,1 to 3 times
Q95,Sports drinks,3,4 to 6 times
Q95,Sports drinks,4,1 time per day
Q95,Sports drinks,5,2 times per day
Q95,Sports drinks,6,3 times per day
Q95,Sports drinks,7,4 or more times per day
Q96,Plain water,1,Did not drink water
Q96,Plain water,2,1 to 3 times
Q96,Plain water,3,4 to 6 times
Q96,Plain water,4,1 time per day
Q96,Plain water,5,2 times per day
Q96,Plain water,6,3 times per day
Q96,Plain water,7,4 or more times per day
Q97,Muscle strengthening,1,0 days
Q97,Muscle strengthening,2,1 day
Q97,Muscle strengthening,3,2 days
